id	description	en	local
		New Game	Novo jogo
		Waiting for server...	Esperando o servidor ...
		Joined	Juntou
		There are ### players connected	Existem ### jogadores conectados
		Player Joined	Cadastrado jogador
		### has joined the game	### juntou o jogo
		Player Disconnected	jogador Disconnected
		### has left the game	### deixou o jogo
		SET ROGUE MODE SAVE	SET ROGUE MODO SALVAR
		SERVER SLOWDOWN	DIMINUIÇÃO SERVIDOR
		### is slowing the game.	### é retardar o jogo.
		Error connecting to server:	Erro ao conectar ao servidor:
		Connecting to server...	Conectando ao servidor...
		Joining game...	Juntando o jogo ...
		NEW GAME	NOVO JOGO
		LOAD GAME	CARREGAR JOGO
		NEW MULTIPLAYER GAME	NOVO jogo multiplayer
		LOAD MULTIPLAYER GAME	CARGA jogo multiplayer
		Invalid password	Senha inválida
		Incompatible game version	versão do jogo incompatíveis
		server version	versão do servidor
		Server is full	Servidor está cheio
		Server is not open to multiplayer	Servidor não está aberto para múltiplos jogadores
		You are not whitelisted on this server	Você não está na lista branca neste servidor
		You are banned from this server	Você está banido deste servidor
		no errors detected	nenhum erro detectado
		Variables	variáveis
		Input 1	entrada 1
		Input 2	entrada 2
		Input 3	entrada 3
		Input 4	entrada 4
		Input 5	entrada 5
		Input 6	entrada 6
		Input 7	entrada 7
		Input 8	entrada 8
		Constants	constantes
		Operators	operadores
		Addition	Adição
		Subtraction	Subtração
		Multiply	Multiplicar
		Divide	Dividir
		Modulo (fmod)	Modulo (fmod)
		Power	Poder
		Trigonometry (radians)	Trigonometria (radianos)
		Sine	Seno
		Cosine	co-seno
		Tangent	Tangente
		Arcsine	arcsine
		Arccosine	arccosine
		Arctangent	arco tangente
		Atan2	atan2
		Max of x and y	Max de x e y
		Min of x and y	Min de x e y
		Ceil x	Ceil x
		Floor x	Andar x
		Round x to nearest y	Rodada x para y mais próximo
		Absolute value of x	valor absoluto de x
		Sign of x (1 if x=0)	Sinal de x (1 se x = 0)
		Square root of x	raiz quadrada de x
		Length of vector(x,y)	Comprimento de vector (x, y)
		len(x,y) (no sqrt)	len (x, y) (nenhum) sqrt
		Linearly interpolate x to y by z	Linearmente Interpolar x para y por Z
		Clamp x within y and z	Braçadeira de x dentro de Y e Z
		Conversions	conversões
		m/s to kmph	m / s para milhas por hora
		m/s to mph	m / s para mph
		m/s to knots	m / s para nós
		Turns to radians	Vira-se para radianos
		Degrees to radians	Graus em radianos
		Radians to degrees	Radianos para graus
		True	VERDADEIRO
		False	FALSO
		And	E
		Or	Ou
		Xor	Xor
		Not	Não
		Click on the 'Logic' button in the top bar to enter logic connecting mode.	Clique no botão 'lógica' na barra superior para entrar no modo de conexão lógica.
		Select the 'Data' logic type to view 'On/Off' and 'Number' logic nodes.	Selecione o 'Dados' Tipo de lógica para a vista 'On / Off' e nós lógicos 'número'.
		Select the 'Power' logic type to view 'Power' logic nodes.	Selecione o tipo de lógica 'Power' para ver os nós lógicos 'poder'.
		Place a wedge in the highlighted space.\n\nYou can change a component's rotation by hovering over different adjacent surfaces in the vehicle.	Colocar uma cunha no espaço de destaque. \ N \ nPoderá alterar a rotação de um componente por pairando sobre diferentes superfícies adjacentes no veículo.
		Click on the wedge block in the component list to start building with it.	Clique no bloco de cunha na lista de componentes para começar a construir com ele.
		Place the next five wedges.\n\nMultiple wedges can be placed at once by dragging.	Colocar os próximos cinco cunhas. \ N cunhas \ nem múltiplas pode ser colocado de uma vez por arrastamento.
		You can also use the following keys to rotate and flip the component.\n\n[j] rotates on the x axis\n[k] rotates on the y axis\n[l] rotates on the z axis\n\n[u] flips on the x axis\n[i] flips on the y axis\n[o] flips on the z axis\n\n[p] toggles the rotation display	Também é possível utilizar as seguintes teclas para rodar e virar o componente. \ N \ n [j] gira sobre o eixo x \ N [k] gira sobre o eixo y \ N [l] gira sobre o eixo z \ N \ N [u] flips no eixo x \ n [i] flips no eixo y \ n [o] aletas sobre o eixo z \ n \ [p] alterna a exibição de rotação
		Click on the pyramid block in the component list to start building with it.	Clique no bloco de pirâmide na lista de componentes para começar a construir com ele.
		First, connect the button in front of seat to the engine's 'on/off' node.\n\nThis will allow you to switch the engine on by pressing the button.\n\nClick on one of the flashing logic nodes to select it and then drag and release while hovering over the node you want to connect it to.	Primeiro, conecte o botão na frente do assento para o motor de 'on / off' nó. \ N \ n Este permitirá que você desligar o motor pressionando o botão. \ N \ nClique em um dos nós lógicos piscando para selecioná-lo e, em seguida, arraste e solte enquanto paira sobre o nó que você deseja se conectar a ele.
		Next, connect the 'Axis 2 [$[action_up]]/[$[action_down]]' node from the seat to the engine's 'throttle in' node.\n\nThis will allow you to apply throttle power to the engine by pressing [$[action_up]] and [$[action_down]].\n\nClick on one of the flashing logic nodes to select it and then drag and release while hovering over the node you want to connect it to.	Em seguida, conecte o 'Eixo 2 [$ [action_up]] / [$ [action_down]]' nó do banco para o motor é 'acelerador em' nó. \ N \ n Este irá permitir que você aplicar o poder do acelerador para o motor, premindo [$ [action_up]] e [$ [action_down]]. \ n \ nClique em um dos nós lógicos piscando para selecioná-lo e, em seguida, arraste e solte enquanto paira sobre o nó que você deseja se conectar a ele.
		Next, connect the 'Axis 1 [$[action_left]]/[$[action_right]]' node from the seat to one rudder's 'rotation input' node.\n\nThis will allow you to apply a turning force by pressing [$[action_left]] or [$[action_right]].	Em seguida, conecte o 'Eixo 1 [$ [action_left]] / [$ [action_right]]' nó a partir do banco de 'input rotação nó de um leme. \ N \ n Este irá permitir-lhe aplicar uma força de rotação pressionando [$ [action_left]] ou [$ [action_right]].
